2026-02-21 22:40:48 | INFO | underwater_sensor_ga.runner | ================================================================================
2026-02-21 22:40:48 | INFO | underwater_sensor_ga.runner | Running Genetic Algorithm for number_of_sensors=3
2026-02-21 22:40:48 | INFO | underwater_sensor_ga.ga | GA seeds | ga_seed=123 | scenario_seed=123
2026-02-21 22:40:49 | INFO | underwater_sensor_ga.ga | Generation 1/500 | best_global_cost=10000175.091 | generation_best=10000175.091
2026-02-21 22:40:49 | INFO | underwater_sensor_ga.ga | Generation 2/500 | best_global_cost=10000117.522 | generation_best=10000117.522
2026-02-21 22:40:49 | INFO | underwater_sensor_ga.ga | Generation 3/500 | best_global_cost=10000117.522 | generation_best=10000119.112
2026-02-21 22:40:50 | INFO | underwater_sensor_ga.ga | Generation 4/500 | best_global_cost=10000117.522 | generation_best=10000120.892
2026-02-21 22:40:51 | INFO | underwater_sensor_ga.ga | Generation 5/500 | best_global_cost=9000064.056 | generation_best=9000064.056
2026-02-21 22:40:53 | INFO | underwater_sensor_ga.ga | Generation 6/500 | best_global_cost=4000116.929 | generation_best=4000116.929
2026-02-21 22:40:55 | INFO | underwater_sensor_ga.ga | Generation 7/500 | best_global_cost=4000104.957 | generation_best=4000104.957
2026-02-21 22:40:57 | INFO | underwater_sensor_ga.ga | Generation 8/500 | best_global_cost=4000068.670 | generation_best=4000068.670
2026-02-21 22:40:59 | INFO | underwater_sensor_ga.ga | Generation 9/500 | best_global_cost=32.883 | generation_best=32.883
2026-02-21 22:41:01 | INFO | underwater_sensor_ga.ga | Generation 10/500 | best_global_cost=32.679 | generation_best=32.679
2026-02-21 22:41:03 | INFO | underwater_sensor_ga.ga | Generation 11/500 | best_global_cost=15.278 | generation_best=15.278
2026-02-21 22:41:05 | INFO | underwater_sensor_ga.ga | Generation 12/500 | best_global_cost=7.266 | generation_best=7.266
2026-02-21 22:41:07 | INFO | underwater_sensor_ga.ga | Generation 13/500 | best_global_cost=7.266 | generation_best=9.899
2026-02-21 22:41:10 | INFO | underwater_sensor_ga.ga | Generation 14/500 | best_global_cost=7.266 | generation_best=7.445
2026-02-21 22:41:12 | INFO | underwater_sensor_ga.ga | Generation 15/500 | best_global_cost=7.266 | generation_best=7.584
2026-02-21 22:41:14 | INFO | underwater_sensor_ga.ga | Generation 16/500 | best_global_cost=6.692 | generation_best=6.692
2026-02-21 22:41:16 | INFO | underwater_sensor_ga.ga | Generation 17/500 | best_global_cost=6.449 | generation_best=6.449
2026-02-21 22:41:18 | INFO | underwater_sensor_ga.ga | Generation 18/500 | best_global_cost=6.449 | generation_best=6.663
2026-02-21 22:41:20 | INFO | underwater_sensor_ga.ga | Generation 19/500 | best_global_cost=6.029 | generation_best=6.029
2026-02-21 22:41:22 | INFO | underwater_sensor_ga.ga | Generation 20/500 | best_global_cost=6.029 | generation_best=6.388
2026-02-21 22:41:25 | INFO | underwater_sensor_ga.ga | Generation 21/500 | best_global_cost=6.029 | generation_best=6.160
2026-02-21 22:41:27 | INFO | underwater_sensor_ga.ga | Generation 22/500 | best_global_cost=5.717 | generation_best=5.717
2026-02-21 22:41:29 | INFO | underwater_sensor_ga.ga | Generation 23/500 | best_global_cost=5.506 | generation_best=5.506
2026-02-21 22:41:31 | INFO | underwater_sensor_ga.ga | Generation 24/500 | best_global_cost=5.506 | generation_best=5.731
2026-02-21 22:41:34 | INFO | underwater_sensor_ga.ga | Generation 25/500 | best_global_cost=5.506 | generation_best=5.637
2026-02-21 22:41:36 | INFO | underwater_sensor_ga.ga | Generation 26/500 | best_global_cost=5.506 | generation_best=5.853
2026-02-21 22:41:38 | INFO | underwater_sensor_ga.ga | Generation 27/500 | best_global_cost=5.426 | generation_best=5.426
2026-02-21 22:41:40 | INFO | underwater_sensor_ga.ga | Generation 28/500 | best_global_cost=5.144 | generation_best=5.144
2026-02-21 22:41:42 | INFO | underwater_sensor_ga.ga | Generation 29/500 | best_global_cost=4.908 | generation_best=4.908
2026-02-21 22:41:44 | INFO | underwater_sensor_ga.ga | Generation 30/500 | best_global_cost=4.908 | generation_best=5.170
2026-02-21 22:41:46 | INFO | underwater_sensor_ga.ga | Generation 31/500 | best_global_cost=4.908 | generation_best=5.429
2026-02-21 22:41:49 | INFO | underwater_sensor_ga.ga | Generation 32/500 | best_global_cost=4.908 | generation_best=5.333
2026-02-21 22:41:51 | INFO | underwater_sensor_ga.ga | Generation 33/500 | best_global_cost=4.908 | generation_best=5.316
2026-02-21 22:41:53 | INFO | underwater_sensor_ga.ga | Generation 34/500 | best_global_cost=4.908 | generation_best=5.167
2026-02-21 22:41:55 | INFO | underwater_sensor_ga.ga | Generation 35/500 | best_global_cost=4.908 | generation_best=5.368
2026-02-21 22:41:57 | INFO | underwater_sensor_ga.ga | Generation 36/500 | best_global_cost=4.908 | generation_best=5.253
2026-02-21 22:41:59 | INFO | underwater_sensor_ga.ga | Generation 37/500 | best_global_cost=4.908 | generation_best=5.264
2026-02-21 22:42:02 | INFO | underwater_sensor_ga.ga | Generation 38/500 | best_global_cost=4.908 | generation_best=5.212
2026-02-21 22:42:04 | INFO | underwater_sensor_ga.ga | Generation 39/500 | best_global_cost=4.908 | generation_best=5.082
2026-02-21 22:42:06 | INFO | underwater_sensor_ga.ga | Generation 40/500 | best_global_cost=4.735 | generation_best=4.735
2026-02-21 22:42:08 | INFO | underwater_sensor_ga.ga | Generation 41/500 | best_global_cost=4.735 | generation_best=5.187
2026-02-21 22:42:10 | INFO | underwater_sensor_ga.ga | Generation 42/500 | best_global_cost=4.735 | generation_best=5.206
2026-02-21 22:42:12 | INFO | underwater_sensor_ga.ga | Generation 43/500 | best_global_cost=4.735 | generation_best=5.116
2026-02-21 22:42:14 | INFO | underwater_sensor_ga.ga | Generation 44/500 | best_global_cost=4.735 | generation_best=5.217
2026-02-21 22:42:16 | INFO | underwater_sensor_ga.ga | Generation 45/500 | best_global_cost=4.735 | generation_best=5.244
2026-02-21 22:42:18 | INFO | underwater_sensor_ga.ga | Generation 46/500 | best_global_cost=4.735 | generation_best=5.113
2026-02-21 22:42:20 | INFO | underwater_sensor_ga.ga | Generation 47/500 | best_global_cost=4.735 | generation_best=4.970
2026-02-21 22:42:22 | INFO | underwater_sensor_ga.ga | Generation 48/500 | best_global_cost=4.735 | generation_best=5.205
2026-02-21 22:42:25 | INFO | underwater_sensor_ga.ga | Generation 49/500 | best_global_cost=4.735 | generation_best=5.300
2026-02-21 22:42:27 | INFO | underwater_sensor_ga.ga | Generation 50/500 | best_global_cost=4.735 | generation_best=5.206
2026-02-21 22:42:29 | INFO | underwater_sensor_ga.ga | Generation 51/500 | best_global_cost=4.735 | generation_best=5.151
2026-02-21 22:42:31 | INFO | underwater_sensor_ga.ga | Generation 52/500 | best_global_cost=4.735 | generation_best=5.203
2026-02-21 22:42:33 | INFO | underwater_sensor_ga.ga | Generation 53/500 | best_global_cost=4.735 | generation_best=5.091
2026-02-21 22:42:35 | INFO | underwater_sensor_ga.ga | Generation 54/500 | best_global_cost=4.735 | generation_best=5.169
2026-02-21 22:42:38 | INFO | underwater_sensor_ga.ga | Generation 55/500 | best_global_cost=4.735 | generation_best=4.866
2026-02-21 22:42:40 | INFO | underwater_sensor_ga.ga | Generation 56/500 | best_global_cost=4.735 | generation_best=5.404
2026-02-21 22:42:42 | INFO | underwater_sensor_ga.ga | Generation 57/500 | best_global_cost=4.735 | generation_best=4.833
2026-02-21 22:42:44 | INFO | underwater_sensor_ga.ga | Generation 58/500 | best_global_cost=4.735 | generation_best=4.972
2026-02-21 22:42:46 | INFO | underwater_sensor_ga.ga | Generation 59/500 | best_global_cost=4.735 | generation_best=4.942
2026-02-21 22:42:48 | INFO | underwater_sensor_ga.ga | Generation 60/500 | best_global_cost=4.735 | generation_best=5.164
2026-02-21 22:42:50 | INFO | underwater_sensor_ga.ga | Generation 61/500 | best_global_cost=4.735 | generation_best=5.016
2026-02-21 22:42:52 | INFO | underwater_sensor_ga.ga | Generation 62/500 | best_global_cost=4.735 | generation_best=5.137
2026-02-21 22:42:54 | INFO | underwater_sensor_ga.ga | Generation 63/500 | best_global_cost=4.735 | generation_best=5.113
2026-02-21 22:42:56 | INFO | underwater_sensor_ga.ga | Generation 64/500 | best_global_cost=4.735 | generation_best=5.174
2026-02-21 22:42:58 | INFO | underwater_sensor_ga.ga | Generation 65/500 | best_global_cost=4.735 | generation_best=5.161
2026-02-21 22:43:00 | INFO | underwater_sensor_ga.ga | Generation 66/500 | best_global_cost=4.735 | generation_best=5.264
2026-02-21 22:43:03 | INFO | underwater_sensor_ga.ga | Generation 67/500 | best_global_cost=4.735 | generation_best=5.020
2026-02-21 22:43:05 | INFO | underwater_sensor_ga.ga | Generation 68/500 | best_global_cost=4.735 | generation_best=5.249
2026-02-21 22:43:07 | INFO | underwater_sensor_ga.ga | Generation 69/500 | best_global_cost=4.735 | generation_best=4.903
2026-02-21 22:43:09 | INFO | underwater_sensor_ga.ga | Generation 70/500 | best_global_cost=4.735 | generation_best=4.804
2026-02-21 22:43:11 | INFO | underwater_sensor_ga.ga | Generation 71/500 | best_global_cost=4.735 | generation_best=5.158
2026-02-21 22:43:13 | INFO | underwater_sensor_ga.ga | Generation 72/500 | best_global_cost=4.734 | generation_best=4.734
2026-02-21 22:43:15 | INFO | underwater_sensor_ga.ga | Generation 73/500 | best_global_cost=4.734 | generation_best=4.922
2026-02-21 22:43:17 | INFO | underwater_sensor_ga.ga | Generation 74/500 | best_global_cost=4.720 | generation_best=4.720
2026-02-21 22:43:19 | INFO | underwater_sensor_ga.ga | Generation 75/500 | best_global_cost=4.720 | generation_best=4.990
2026-02-21 22:43:21 | INFO | underwater_sensor_ga.ga | Generation 76/500 | best_global_cost=4.720 | generation_best=4.799
2026-02-21 22:43:23 | INFO | underwater_sensor_ga.ga | Generation 77/500 | best_global_cost=4.720 | generation_best=4.818
2026-02-21 22:43:26 | INFO | underwater_sensor_ga.ga | Generation 78/500 | best_global_cost=4.720 | generation_best=4.979
2026-02-21 22:43:28 | INFO | underwater_sensor_ga.ga | Generation 79/500 | best_global_cost=4.631 | generation_best=4.631
2026-02-21 22:43:30 | INFO | underwater_sensor_ga.ga | Generation 80/500 | best_global_cost=4.631 | generation_best=4.815
2026-02-21 22:43:32 | INFO | underwater_sensor_ga.ga | Generation 81/500 | best_global_cost=4.631 | generation_best=4.909
2026-02-21 22:43:34 | INFO | underwater_sensor_ga.ga | Generation 82/500 | best_global_cost=4.631 | generation_best=4.969
2026-02-21 22:43:36 | INFO | underwater_sensor_ga.ga | Generation 83/500 | best_global_cost=4.631 | generation_best=4.817
2026-02-21 22:43:38 | INFO | underwater_sensor_ga.ga | Generation 84/500 | best_global_cost=4.631 | generation_best=4.885
2026-02-21 22:43:40 | INFO | underwater_sensor_ga.ga | Generation 85/500 | best_global_cost=4.631 | generation_best=4.757
2026-02-21 22:43:42 | INFO | underwater_sensor_ga.ga | Generation 86/500 | best_global_cost=4.631 | generation_best=4.952
2026-02-21 22:43:44 | INFO | underwater_sensor_ga.ga | Generation 87/500 | best_global_cost=4.631 | generation_best=5.064
2026-02-21 22:43:46 | INFO | underwater_sensor_ga.ga | Generation 88/500 | best_global_cost=4.631 | generation_best=4.976
2026-02-21 22:43:48 | INFO | underwater_sensor_ga.ga | Generation 89/500 | best_global_cost=4.631 | generation_best=4.845
2026-02-21 22:43:50 | INFO | underwater_sensor_ga.ga | Generation 90/500 | best_global_cost=4.631 | generation_best=4.824
2026-02-21 22:43:52 | INFO | underwater_sensor_ga.ga | Generation 91/500 | best_global_cost=4.631 | generation_best=4.755
2026-02-21 22:43:55 | INFO | underwater_sensor_ga.ga | Generation 92/500 | best_global_cost=4.631 | generation_best=4.782
2026-02-21 22:43:57 | INFO | underwater_sensor_ga.ga | Generation 93/500 | best_global_cost=4.631 | generation_best=4.825
2026-02-21 22:43:59 | INFO | underwater_sensor_ga.ga | Generation 94/500 | best_global_cost=4.474 | generation_best=4.474
2026-02-21 22:44:01 | INFO | underwater_sensor_ga.ga | Generation 95/500 | best_global_cost=4.474 | generation_best=4.875
2026-02-21 22:44:03 | INFO | underwater_sensor_ga.ga | Generation 96/500 | best_global_cost=4.474 | generation_best=4.990
2026-02-21 22:44:05 | INFO | underwater_sensor_ga.ga | Generation 97/500 | best_global_cost=4.474 | generation_best=4.867
