2026-02-23 21:35:20 | INFO | underwater_sensor_ga.pso_runner | ================================================================================
2026-02-23 21:35:20 | INFO | underwater_sensor_ga.pso_runner | Running PSO for number_of_sensors=3
2026-02-23 21:35:20 | INFO | underwater_sensor_ga.pso | PSO seeds | pso_seed=321 | scenario_seed=123
2026-02-23 21:35:22 | INFO | underwater_sensor_ga.pso | PSO iter 1/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:22 | INFO | underwater_sensor_ga.pso | PSO iter 2/80 | best_global_cost=272.680 | iter_best=274.918
2026-02-23 21:35:22 | INFO | underwater_sensor_ga.pso | PSO iter 3/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:22 | INFO | underwater_sensor_ga.pso | PSO iter 4/80 | best_global_cost=272.680 | iter_best=275.220
2026-02-23 21:35:22 | INFO | underwater_sensor_ga.pso | PSO iter 5/80 | best_global_cost=272.680 | iter_best=274.918
2026-02-23 21:35:22 | INFO | underwater_sensor_ga.pso | PSO iter 6/80 | best_global_cost=272.680 | iter_best=273.595
2026-02-23 21:35:22 | INFO | underwater_sensor_ga.pso | PSO iter 7/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 8/80 | best_global_cost=272.680 | iter_best=275.220
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 9/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 10/80 | best_global_cost=272.680 | iter_best=275.220
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 11/80 | best_global_cost=272.680 | iter_best=275.220
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 12/80 | best_global_cost=272.680 | iter_best=274.918
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 13/80 | best_global_cost=272.680 | iter_best=273.595
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 14/80 | best_global_cost=272.680 | iter_best=274.232
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 15/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 16/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 17/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 18/80 | best_global_cost=272.680 | iter_best=274.898
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 19/80 | best_global_cost=272.680 | iter_best=275.832
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 20/80 | best_global_cost=272.680 | iter_best=273.595
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 21/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 22/80 | best_global_cost=272.680 | iter_best=274.918
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 23/80 | best_global_cost=272.680 | iter_best=275.220
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 24/80 | best_global_cost=272.680 | iter_best=274.918
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 25/80 | best_global_cost=272.680 | iter_best=274.918
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 26/80 | best_global_cost=272.680 | iter_best=273.595
2026-02-23 21:35:23 | INFO | underwater_sensor_ga.pso | PSO iter 27/80 | best_global_cost=272.680 | iter_best=273.595
