generation,label,total_cost,mean_error_m,no_coverage_rate,localizable_impacts,num_impacts
0,GA_best_gen,117.29327828247582,53.03615363163648,0.13333333333333333,26,30
0,GA_best_global,117.29327828247582,53.03615363163648,0.13333333333333333,26,30
1,GA_best_gen,116.46321070273214,52.43148543068695,0.13333333333333333,26,30
1,GA_best_global,116.46321070273214,52.43148543068695,0.13333333333333333,26,30
2,GA_best_gen,76.99860266622264,26.163085142450083,0.13333333333333333,26,30
2,GA_best_global,76.99860266622264,26.163085142450083,0.13333333333333333,26,30
3,GA_best_gen,74.87313808345499,24.692411553338506,0.13333333333333333,26,30
3,GA_best_global,74.87313808345499,24.692411553338506,0.13333333333333333,26,30
4,GA_best_gen,53.884486769329996,10.715955781355687,0.13333333333333333,26,30
4,GA_best_global,53.884486769329996,10.715955781355687,0.13333333333333333,26,30
5,GA_best_gen,51.97095363444329,9.362090072973237,0.13333333333333333,26,30
5,GA_best_global,51.97095363444329,9.362090072973237,0.13333333333333333,26,30
6,GA_best_gen,21.505514442383184,9.17038730407494,0.03333333333333333,29,30
6,GA_best_global,21.505514442383184,9.17038730407494,0.03333333333333333,29,30
7,GA_best_gen,20.62544795883776,8.514428179344893,0.03333333333333333,29,30
7,GA_best_global,20.62544795883776,8.514428179344893,0.03333333333333333,29,30
8,GA_best_gen,20.17843407982402,8.190827183204066,0.03333333333333333,29,30
8,GA_best_global,20.17843407982402,8.190827183204066,0.03333333333333333,29,30
9,GA_best_gen,19.45257908332554,7.686863857222419,0.03333333333333333,29,30
9,GA_best_global,19.45257908332554,7.686863857222419,0.03333333333333333,29,30
10,GA_best_gen,20.009023586914857,8.145500152246298,0.03333333333333333,29,30
10,GA_best_global,19.45257908332554,7.686863857222419,0.03333333333333333,29,30
11,GA_best_gen,16.72824692519196,5.92555530386662,0.03333333333333333,29,30
11,GA_best_global,16.72824692519196,5.92555530386662,0.03333333333333333,29,30
12,GA_best_gen,16.342482269362762,5.572595063402337,0.03333333333333333,29,30
12,GA_best_global,16.342482269362762,5.572595063402337,0.03333333333333333,29,30
13,GA_best_gen,15.979914973455791,5.373248354765893,0.03333333333333333,29,30
13,GA_best_global,15.979914973455791,5.373248354765893,0.03333333333333333,29,30
14,GA_best_gen,15.848934678326032,5.306991371540663,0.03333333333333333,29,30
14,GA_best_global,15.848934678326032,5.306991371540663,0.03333333333333333,29,30
15,GA_best_gen,7.917239083024184,6.804816962081068,0.0,30,30
15,GA_best_global,7.917239083024184,6.804816962081068,0.0,30,30
16,GA_best_gen,6.5492918107722815,5.708984956067022,0.0,30,30
16,GA_best_global,6.5492918107722815,5.708984956067022,0.0,30,30
17,GA_best_gen,6.683857694875066,5.9290496962137285,0.0,30,30
