generation_index,cost_min,cost_avg,cost_median,cost_p90,avg_no_coverage_rate,avg_error_meters,best_global_cost
0,57000004.88983127,59700000.48898313,60000000.0,60000000.0,0.9949999999999999,4.8898312667387165,57000004.88983127
1,59000016.66529923,59900001.666529916,60000000.0,60000000.0,0.9983333333333334,16.665299227973964,57000004.88983127
2,57000005.89171796,59600001.12159488,60000000.0,60000000.0,0.9933333333333334,5.6079743980415095,57000004.88983127
3,56000005.29018913,58800002.73752413,59000003.482767984,60000000.0,0.9800000000000001,5.4750482688935405,56000005.29018913
4,57000007.01212569,58500004.41522064,58500003.463728726,60000000.0,0.9749999999999999,6.307458068629755,56000005.29018913
5,55000008.356634274,57600009.11452743,57500022.27892578,60000000.0,0.9599999999999997,11.393159279055965,55000008.356634274
6,56000005.19091422,57600007.146527484,57500010.66008717,59100005.32342846,0.96,7.940586107037908,55000008.356634274
7,56000006.00206209,57500008.238395415,58000005.54837137,58100010.98540681,0.9583333333333333,8.23839541288806,55000008.356634274
8,57000005.181334496,58900005.19008616,59000012.100831956,60000000.0,0.9816666666666667,8.650143610169915,55000008.356634274
9,54000017.47575315,57700007.7474611,58000006.95193377,59100012.85611706,0.9616666666666666,8.608290113400251,54000017.47575315
